Hurricane Tracks 2010,,,,,,,,,,
OBJECTID,Serial_Num,Year,Basin,Name,ISO_time,Nature,Category,MaxStrength,LandfallState,Shape_Length
7694,2010166N15255,2010, EP,BLAS,6/20/2010 0:00, TS,Tropical Storm,Tropical Storm,None,106108.7511
7695,2010166N15255,2010, EP,BLAS,6/20/2010 6:00, TS,Tropical Storm,Tropical Storm,None,116694.1505
7696,2010166N15255,2010, EP,BLAS,6/20/2010 12:00, TS,Tropical Storm,Tropical Storm,None,134092.8704
7697,2010166N15255,2010, EP,BLAS,6/20/2010 18:00, TS,Tropical Storm,Tropical Storm,None,134094.2641
7698,2010166N15255,2010, EP,BLAS,6/21/2010 0:00, TS,Tropical Depression,Tropical Storm,None,144714.8285
7699,2010166N15255,2010, EP,BLAS,6/21/2010 6:00, TS,Tropical Depression,Tropical Storm,None,135612.754
7700,2010166N15255,2010, EP,BLAS,6/21/2010 12:00, TS,Tropical Depression,Tropical Storm,None,148888.8085
7701,2010166N15255,2010, EP,BLAS,6/21/2010 18:00, DS,Tropical Depression,Tropical Storm,None,148876.1798
7718,2010217N15265,2010, EP,ESTELLE,8/7/2010 12:00, TS,Tropical Storm,Tropical Storm,None,113727.9514
7719,2010217N15265,2010, EP,ESTELLE,8/7/2010 18:00, TS,Tropical Storm,Tropical Storm,None,102861.9476
7720,2010217N15265,2010, EP,ESTELLE,8/8/2010 0:00, TS,Tropical Storm,Tropical Storm,None,70750.17222
7721,2010217N15265,2010, EP,ESTELLE,8/8/2010 6:00, TS,Tropical Storm,Tropical Storm,None,70757.84763
7722,2010217N15265,2010, EP,ESTELLE,8/8/2010 12:00, TS,Tropical Storm,Tropical Storm,None,60372.00479
7723,2010217N15265,2010, EP,ESTELLE,8/8/2010 18:00, TS,Tropical Storm,Tropical Storm,None,44527.9662
7724,2010217N15265,2010, EP,ESTELLE,8/9/2010 0:00, TS,Tropical Storm,Tropical Storm,None,44527.1169
7725,2010217N15265,2010, EP,ESTELLE,8/9/2010 6:00, TS,Tropical Storm,Tropical Storm,None,35384.70631
7726,2010217N15265,2010, EP,ESTELLE,8/9/2010 12:00, TS,Tropical Storm,Tropical Storm,None,46036.43674
7727,2010217N15265,2010, EP,ESTELLE,8/9/2010 18:00, TS,Tropical Depression,Tropical Storm,None,44527.9662
7728,2010217N15265,2010, EP,ESTELLE,8/10/2010 0:00, TS,Tropical Depression,Tropical Storm,None,50281.5014
7729,2010217N15265,2010, EP,ESTELLE,8/10/2010 6:00, DS,Tropical Depression,Tropical Storm,None,23331.645
7730,2010217N15265,2010, EP,ESTELLE,8/10/2010 12:00, DS,Tropical Depression,Tropical Storm,None,16117.70807
7734,2010247N15266,2010, EP,ELEVEN:HERMINE,9/4/2010 12:00, TS,Tropical Depression,Tropical Storm,Texas,93175.3704
7735,2010247N15266,2010, NA,ELEVEN:HERMINE,9/4/2010 18:00, DS,Tropical Depression,Tropical Storm,Texas,93586.4918
7736,2010247N15266,2010, NA,ELEVEN:HERMINE,9/5/2010 0:00, DS,Tropical Depression,Tropical Storm,Texas,82242.9236
7737,2010247N15266,2010, NA,ELEVEN:HERMINE,9/5/2010 6:00, DS,Tropical Depression,Tropical Storm,Texas,58956.2678
7738,2010247N15266,2010, NA,ELEVEN:HERMINE,9/5/2010 12:00, DS,Tropical Depression,Tropical Storm,Texas,60177.30105
7739,2010247N15266,2010, NA,ELEVEN:HERMINE,9/5/2010 18:00, TS,Tropical Depression,Tropical Storm,Texas,100027.8017
7740,2010247N15266,2010, NA,ELEVEN:HERMINE,9/6/2010 0:00, TS,Tropical Depression,Tropical Storm,Texas,131857.7291
7741,2010247N15266,2010, NA,ELEVEN:HERMINE,9/6/2010 6:00, TS,Tropical Storm,Tropical Storm,Texas,154838.8917
7742,2010247N15266,2010, NA,ELEVEN:HERMINE,9/6/2010 12:00, TS,Tropical Storm,Tropical Storm,Texas,157394.35
7743,2010247N15266,2010, NA,ELEVEN:HERMINE,9/6/2010 18:00, TS,Tropical Storm,Tropical Storm,Texas,134851.6261
